	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
N-Glycan biosynthesis	0.783127617786723	1.12396364760845	1.57307134468588	1.00732530960954	1.02917365963539	0.751346532194371	0.865304160931496	0.866687727548157
Mucin type O-glycan biosynthesis	0.748758557330088	0.578697224568384	0.971606563467541	1.3162342497753	1.00881742258826	1.14816445180343	1.08306556888435	1.14465596158264
Mannose type O-glycan biosynthesis	0.95057346762692	0.694501964214258	0.99536372635775	0.873799775048325	0.967752927406626	1.38163197682955	0.86393909162447	1.2724370708921
Other types of O-glycan biosynthesis	1.06186126242276	0.385134045517832	1.1563175527347	0.99107491570152	0.992927645490692	1.23554226444824	0.94545602103039	1.23168629265387
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1.23814358091501	0.444223484598741	1.02891008123902	1.00427726319301	1.06471790595955	1.07821958411501	0.973544249360049	1.16796385061962
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1.33726255719949	1.12687791949186	0.73124093207944	1.05317219620737	1.26515399375789	0.507080122132713	0.787562740404044	1.1916495387272
Glycosaminoglycan biosynthesis - keratan sulfate	1.0313836195321	1.03656660204335	1.58990844897178	0.840529171745979	0.592320341636055	1.02325002925414	1.0301663873568	0.855875399459798
Glycosaminoglycan degradation	0.96014750047293	0.847072404446705	0.812387283586985	1.03511315722657	1.18579551701024	0.848380948145027	1.26377563463307	1.04732755447847
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.943889766525064	1.48416837528048	1.00073085790443	1.16006016779163	1.14840876243621	0.708641798658409	0.742057885331129	0.81204238607264
Glycosphingolipid biosynthesis - lacto and neolacto series	1.00815434950519	0.565198289281163	0.867401941635092	0.765963662302622	0.730170614315863	1.34530740381995	1.68375962172694	1.03404411741318
Glycosphingolipid biosynthesis - globo and isoglobo series	1.00029168152198	0.647602772363709	1.03182332324491	1.38762701662772	1.10256434352957	0.947732598859437	0.805807354853024	1.07655090899964
Glycosphingolipid biosynthesis - ganglio series	0.71264667890016	0.769169123878436	1.68945655777856	1.15910669341304	0.870276431737677	0.886944729850783	1.21257559583435	0.699824188606997
Other glycan degradation	0.811692152903658	0.668707403644612	0.895636421998005	1.73804265307283	0.98767849236499	0.538854295191339	1.26240636353252	1.09698221729204
Thiamine metabolism	0.994486819640679	1.28585282451392	0.858859649685906	1.22416598722783	0.966421684295801	0.778477759892669	1.04520926737	0.8465260073732
Riboflavin metabolism	0.574361320595385	1.8817169861483	1.01020003901238	1.62352548278994	1.09712396082728	0.648818052519157	0.54845869196881	0.615795466138745
Vitamin B6 metabolism	1.15427747554569	1.23057547396114	1.39925012794705	0.532418106233224	0.684194180601586	1.21454781360187	0.615345761324348	1.16939106078509
Nicotinate and nicotinamide metabolism	1.03615390957685	1.01300355018691	0.919370913908996	0.849452132340542	0.865582703934253	0.910456089536667	1.52805094206627	0.877929758449514
Pantothenate and CoA biosynthesis	0.741794626324536	1.35072908068033	0.781788213231344	1.36426896386183	1.19598357913473	0.514117895899263	0.950428612651057	1.10088902821692
Biotin metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Lipoic acid metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Folate biosynthesis	0.825232150858856	1.77808846467059	1.03866099911298	1.40635113650301	0.82601907892486	0.660048537867042	0.811186667908869	0.65441296415378
One carbon pool by folate	0.839747910600891	1.24128086917251	0.992983963944576	1.17288093802121	0.670789313785694	0.830253001874014	1.06586656370204	1.18619743889905
Retinol metabolism	1.23404721875849	1.37786984463666	0.658238847117164	1.05812904974199	0.754375058478703	1.32754812314718	0.701437594364722	0.888354263755089
Porphyrin and chlorophyll metabolism	0.72438336315706	1.94579756008602	0.751107379503716	1.5198942599741	0.762509501507018	0.637578210129959	0.857003936810672	0.801725788831458
Ubiquinone and other terpenoid-quinone biosynthesis	0.936813478697301	2.21376844163028	0.97952818684568	1.11295611470397	0.917555584099172	0.51061743287276	0.731888294423636	0.5968724667272
Terpenoid backbone biosynthesis	0.741579554832864	1.6217758309011	0.94293360845605	0.88808156860329	0.889474109808622	0.858605221347699	1.05490973289374	1.00264037315663
Caffeine metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	1.05939694209588	2.39351212097908	0.781643139326874	0.948036025798487	0.882941106401196	0.661012491355962	0.640768388322722	0.632689785719803
Drug metabolism - cytochrome P450	1.0096325963654	3.10943747117508	0.791485234374047	0.724956768851928	0.544399144557336	0.476787906983483	0.525652270087065	0.817648607605659
Drug metabolism - other enzymes	0.770079169322243	2.02597159159869	0.761791743857843	0.961410355963776	0.957636337778228	0.706446338414781	1.02976668339838	0.786897779666059
