Sample ID	Sample Type
TCGA-CN-A498-01A	Primary Tumor
TCGA-CV-6945-01A	Primary Tumor
TCGA-CN-4734-01A	Primary Tumor
TCGA-CV-7440-11A	Solid Tissue Normal
TCGA-CR-7390-01A	Primary Tumor
TCGA-CV-7101-11A	Solid Tissue Normal
TCGA-CV-5439-01A	Primary Tumor
TCGA-BB-A6UM-01A	Primary Tumor
TCGA-CN-A6V6-01A	Primary Tumor
TCGA-CQ-6219-01A	Primary Tumor
TCGA-CQ-5325-01A	Primary Tumor
TCGA-IQ-A61E-01A	Primary Tumor
TCGA-F7-A624-01A	Primary Tumor
TCGA-QK-A6V9-01A	Primary Tumor
TCGA-CV-6961-01A	Primary Tumor
TCGA-CV-7090-01A	Primary Tumor
TCGA-CR-7394-01A	Primary Tumor
TCGA-TN-A7HJ-01A	Primary Tumor
TCGA-CR-5247-01A	Primary Tumor
TCGA-CN-A49A-01A	Primary Tumor
TCGA-D6-6826-01A	Primary Tumor
TCGA-D6-6823-01A	Primary Tumor
TCGA-CV-7103-01A	Primary Tumor
TCGA-CV-A45Q-01A	Primary Tumor
TCGA-H7-A76A-01A	Primary Tumor
TCGA-BB-4227-01A	Primary Tumor
TCGA-CV-6960-11A	Solid Tissue Normal
TCGA-CV-5443-01A	Primary Tumor
TCGA-CV-7238-11A	Solid Tissue Normal
TCGA-CV-5430-01A	Primary Tumor
TCGA-CV-A45T-01A	Primary Tumor
TCGA-CN-A6UY-01A	Primary Tumor
TCGA-HD-A4C1-01A	Primary Tumor
TCGA-H7-A6C5-11A	Solid Tissue Normal
TCGA-CV-7423-11A	Solid Tissue Normal
TCGA-BA-5152-01A	Primary Tumor
TCGA-CR-7399-01A	Primary Tumor
TCGA-CV-6938-11A	Solid Tissue Normal
TCGA-BB-8596-01A	Primary Tumor
TCGA-CV-7238-01A	Primary Tumor
TCGA-CV-7245-11A	Solid Tissue Normal
TCGA-CR-7377-01A	Primary Tumor
TCGA-CR-6492-01A	Primary Tumor
TCGA-CV-7091-11A	Solid Tissue Normal
TCGA-HD-7229-01A	Primary Tumor
TCGA-MZ-A6I9-01A	Primary Tumor
TCGA-CV-6937-01A	Primary Tumor
TCGA-BA-5559-01A	Primary Tumor
TCGA-CN-5361-01A	Primary Tumor
TCGA-QK-A652-01A	Primary Tumor
TCGA-CR-7386-01A	Primary Tumor
TCGA-BB-A5HU-01A	Primary Tumor
TCGA-UF-A7JS-01A	Primary Tumor
TCGA-F7-8489-01A	Primary Tumor
TCGA-HD-8635-01A	Primary Tumor
TCGA-CN-4738-01A	Primary Tumor
TCGA-CX-7085-01A	Primary Tumor
TCGA-UP-A6WW-01A	Primary Tumor
TCGA-BA-A6DG-01A	Primary Tumor
TCGA-DQ-7588-01A	Primary Tumor
TCGA-BA-6871-01A	Primary Tumor
TCGA-CR-6477-01A	Primary Tumor
TCGA-CV-5432-01A	Primary Tumor
TCGA-CV-A6JU-01A	Primary Tumor
TCGA-BB-A6UO-01A	Primary Tumor
TCGA-CV-6936-11A	Solid Tissue Normal
TCGA-D6-6824-01A	Primary Tumor
TCGA-CR-7393-01A	Primary Tumor
TCGA-CR-6493-01A	Primary Tumor
TCGA-CQ-7071-01A	Primary Tumor
TCGA-BA-A4IF-01A	Primary Tumor
TCGA-CR-7376-01A	Primary Tumor
TCGA-CR-7388-01A	Primary Tumor
TCGA-DQ-5631-01A	Primary Tumor
TCGA-QK-A6VC-01A	Primary Tumor
TCGA-CR-6472-01A	Primary Tumor
TCGA-P3-A6SX-01A	Primary Tumor
TCGA-UF-A7JD-01A	Primary Tumor
TCGA-CV-7104-01A	Primary Tumor
TCGA-CQ-A4C6-01A	Primary Tumor
TCGA-UF-A7JF-01A	Primary Tumor
TCGA-QK-A8ZB-01A	Primary Tumor
TCGA-CV-7250-01A	Primary Tumor
TCGA-MT-A67A-01A	Primary Tumor
TCGA-CV-6951-01A	Primary Tumor
TCGA-CR-7404-01A	Primary Tumor
TCGA-CQ-A4CG-01A	Primary Tumor
TCGA-MZ-A7D7-01A	Primary Tumor
TCGA-CV-7180-01A	Primary Tumor
TCGA-T3-A92N-01A	Primary Tumor
TCGA-CN-4729-01A	Primary Tumor
TCGA-CX-A4AQ-01A	Primary Tumor
TCGA-CR-6491-01A	Primary Tumor
TCGA-BA-5153-01A	Primary Tumor
TCGA-BA-7269-01A	Primary Tumor
TCGA-UF-A7J9-01A	Primary Tumor
TCGA-CV-7423-01A	Primary Tumor
TCGA-IQ-A6SG-01A	Primary Tumor
TCGA-CR-6481-01A	Primary Tumor
TCGA-CV-7252-11A	Solid Tissue Normal
TCGA-DQ-7592-01A	Primary Tumor
TCGA-UF-A71E-01A	Primary Tumor
TCGA-CV-5431-01A	Primary Tumor
TCGA-F7-7848-01A	Primary Tumor
TCGA-C9-A47Z-01A	Primary Tumor
TCGA-CN-6010-01A	Primary Tumor
TCGA-HD-8634-01A	Primary Tumor
TCGA-CV-6933-11A	Solid Tissue Normal
TCGA-D6-A4ZB-01A	Primary Tumor
TCGA-CN-6988-01A	Primary Tumor
TCGA-UF-A7JT-01A	Primary Tumor
TCGA-CV-A45X-01A	Primary Tumor
TCGA-BA-4076-01A	Primary Tumor
TCGA-CN-A499-01A	Primary Tumor
TCGA-UF-A71D-01A	Primary Tumor
TCGA-T2-A6WX-01A	Primary Tumor
TCGA-CN-4742-01A	Primary Tumor
TCGA-CR-6488-01A	Primary Tumor
TCGA-CV-7178-11A	Solid Tissue Normal
TCGA-CV-5978-01A	Primary Tumor
TCGA-CV-A465-01A	Primary Tumor
TCGA-MT-A51W-01A	Primary Tumor
TCGA-T2-A6X0-01A	Primary Tumor
TCGA-CV-7413-01A	Primary Tumor
TCGA-UF-A718-01A	Primary Tumor
TCGA-CV-7406-01A	Primary Tumor
TCGA-QK-A8Z8-01A	Primary Tumor
TCGA-BA-A6DB-01A	Primary Tumor
TCGA-C9-A480-01A	Primary Tumor
TCGA-CN-A497-01A	Primary Tumor
TCGA-CR-7374-01A	Primary Tumor
TCGA-CQ-6223-01A	Primary Tumor
TCGA-H7-7774-01A	Primary Tumor
TCGA-D6-A6EQ-01A	Primary Tumor
TCGA-CV-7178-01A	Primary Tumor
TCGA-CV-7236-01A	Primary Tumor
TCGA-CQ-6224-01A	Primary Tumor
TCGA-HD-A6HZ-11A	Solid Tissue Normal
TCGA-HD-8314-01A	Primary Tumor
TCGA-CN-A49B-01A	Primary Tumor
TCGA-CV-7261-01A	Primary Tumor
TCGA-UF-A7JJ-01A	Primary Tumor
TCGA-BB-4217-01A	Primary Tumor
TCGA-CR-7380-01A	Primary Tumor
TCGA-CV-A45Y-01A	Primary Tumor
TCGA-CR-7385-01A	Primary Tumor
TCGA-CV-5444-01A	Primary Tumor
TCGA-HD-8635-11A	Solid Tissue Normal
TCGA-BB-A5HZ-01A	Primary Tumor
TCGA-CQ-5323-01A	Primary Tumor
TCGA-IQ-A61O-01A	Primary Tumor
TCGA-CQ-6222-01A	Primary Tumor
TCGA-CV-7421-01A	Primary Tumor
TCGA-CV-7414-01A	Primary Tumor
TCGA-CN-A6V3-01A	Primary Tumor
